desk, underlying, base_market, base_feedcode, calculated_at, volatility_type, volatility, winddown
UST,TN10,XCME,ZNM9,1557477000000000000,BootstrapNonBaseWithoutGap,0.00825758,0.13002
UST,TN10,XCME,ZNM9,1557477000000000000,BootstrapSliding10,0,0.00516
UST,TN10,XCME,ZNM9,1557477000000000000,BootstrapSliding30,0,0.015818
UST,TN10,XCME,ZNM9,1557477000000000000,BootstrapSliding60,0,0.036262
UST,TN10,XCME,ZNM9,1557477000000000000,MoveBaseWithGap,0.0130335,0.319132
UST,TN10,XCME,ZNM9,1557477000000000000,MoveBaseWithoutGap,0.0058661,0.13002
UST,TN10,XCME,ZNM9,1557477000000000000,MoveNonBaseWithGap,0.0130335,0.319132
UST,TN10,XCME,ZNM9,1557477000000000000,MoveNonBaseWithoutGap,0.0058661,0.13002
UST,TN10,XCME,ZNM9,1557477000000000000,CloseToClose,0.00873925,0.319132
UST,TN10,XCME,ZNM9,1557478800000000000,BootstrapBaseWithGap,0.0118821,0.334622
UST,TN10,XCME,ZNM9,1557478800000000000,BootstrapBaseWithoutGap,0.00764124,0.14551
UST,TN10,XCME,ZNM9,1557478800000000000,BootstrapNonBaseWithGap,0.0115548,0.334622
UST,TN10,XCME,ZNM9,1557478800000000000,BootstrapNonBaseWithoutGap,0.00765093,0.14551
UST,TN10,XCME,ZNM9,1557478800000000000,BootstrapSliding10,0,0.00516
UST,TN10,XCME,ZNM9,1557478800000000000,BootstrapSliding30,0,0.01549
UST,TN10,XCME,ZNM9,1557478800000000000,BootstrapSliding60,0,0.031308
UST,TN10,XCME,ZNM9,1557478800000000000,MoveBaseWithGap,0.0127283,0.334622
UST,TN10,XCME,ZNM9,1557478800000000000,MoveBaseWithoutGap,0.00554509,0.14551
UST,TN10,XCME,ZNM9,1557478800000000000,MoveNonBaseWithGap,0.0127283,0.334622
UST,TN10,XCME,ZNM9,1557478800000000000,MoveNonBaseWithoutGap,0.00554509,0.14551
UST,TN10,XCME,ZNM9,1557478800000000000,CloseToClose,0.00853458,0.334622
